22-45-01

399/1000, sim loss = 547.981, time = 0.221 s
400/1000, rel loss = 53135.388, time = 1.547 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3632  0.6965  0.8605  0.908 ], mean = 85.533, mrr = 0.475, time = 5.607 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3847  0.6856  0.8382  0.8872], mean = 95.013, mrr = 0.486, time = 5.592 s 
401/1000, sim loss = 547.512, time = 0.224 s
402/1000, rel loss = 53002.021, time = 1.559 s
403/1000, sim loss = 547.050, time = 0.223 s
404/1000, rel loss = 52890.095, time = 1.532 s
405/1000, sim loss = 546.590, time = 0.222 s
406/1000, rel loss = 52743.140, time = 1.548 s
407/1000, sim loss = 546.120, time = 0.219 s
408/1000, rel loss = 52671.707, time = 1.549 s
409/1000, sim loss = 545.661, time = 0.221 s
410/1000, rel loss = 52474.453, time = 1.546 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.365   0.6951  0.861   0.909 ], mean = 83.988, mrr = 0.476, time = 5.606 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.384   0.6857  0.8382  0.8882], mean = 93.427, mrr = 0.486, time = 5.592 s 
411/1000, sim loss = 545.219, time = 0.229 s
412/1000, rel loss = 52412.531, time = 1.579 s
413/1000, sim loss = 544.789, time = 0.232 s
414/1000, rel loss = 52280.624, time = 1.615 s
415/1000, sim loss = 544.354, time = 0.225 s
416/1000, rel loss = 52139.884, time = 1.671 s
417/1000, sim loss = 543.915, time = 0.234 s
418/1000, rel loss = 52109.098, time = 1.586 s
419/1000, sim loss = 543.493, time = 0.220 s
420/1000, rel loss = 51922.706, time = 1.630 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3659  0.6965  0.8619  0.9098], mean = 82.683, mrr = 0.476, time = 5.619 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3836  0.6871  0.8388  0.8884], mean = 92.075, mrr = 0.485, time = 5.596 s 
421/1000, sim loss = 543.073, time = 0.226 s
422/1000, rel loss = 51873.686, time = 1.556 s
423/1000, sim loss = 542.637, time = 0.228 s
424/1000, rel loss = 51751.269, time = 1.548 s
425/1000, sim loss = 542.222, time = 0.228 s
426/1000, rel loss = 51631.938, time = 1.560 s
427/1000, sim loss = 541.835, time = 0.219 s
428/1000, rel loss = 51527.297, time = 1.550 s
429/1000, sim loss = 541.444, time = 0.221 s
430/1000, rel loss = 51385.432, time = 1.568 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3664  0.6968  0.8623  0.9103], mean = 81.488, mrr = 0.477, time = 5.598 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3836  0.6881  0.8395  0.8893], mean = 90.841, mrr = 0.485, time = 5.581 s 
431/1000, sim loss = 541.029, time = 0.222 s
432/1000, rel loss = 51276.057, time = 1.546 s
433/1000, sim loss = 540.629, time = 0.223 s
